,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.010150909423828125,0.001014351927445346,0.0004894256591796875,1.369809665328628e-05,1,cholesky,"{'alpha': 1, 'solver': 'cholesky'}",-323.30888423379974,-323.92693102757175,-312.46563076111346,-328.02395204680687,-309.9232933404116,-319.5297382819407,7.042078033242221,12,-315.1367736959938,-314.7778669031235,-317.7770890935785,-313.84964737952146,-318.6615254986455,-316.0405805141726,1.8491249328594122
1,0.004706621170043945,3.424507564356601e-05,0.0,0.0,1,sgd,"{'alpha': 1, 'solver': 'sgd'}",,,,,,,,61,,,,,,,
2,0.033420753479003903,0.0034555777501830364,0.0005304813385009766,7.306664012671644e-06,1,svd,"{'alpha': 1, 'solver': 'svd'}",-323.3088842338004,-323.9269310275618,-312.46563076112653,-328.02395204680937,-309.92329334041386,-319.5297382819424,7.042078033238411,13,-315.13677369599253,-314.777866903124,-317.7770890935809,-313.8496473795284,-318.66152549864546,-316.0405805141742,1.8491249328582535
3,0.028414440155029298,0.006530755076588836,0.0005360126495361328,2.3115243777020148e-05,1,lsqr,"{'alpha': 1, 'solver': 'lsqr'}",-331.34926615360166,-330.11785829205263,-321.7332570203231,-334.5352587646903,-314.56982611388327,-326.4610932689102,7.296752471943023,47,-322.15695739324326,-322.3984409974238,-325.0342004700306,-321.5833097907875,-325.5648388954965,-323.34754950939634,1.624316596232557
4,0.03039517402648926,0.0016391321154449092,0.0005327701568603515,1.8317995940388896e-05,1,sparse_cg,"{'alpha': 1, 'solver': 'sparse_cg'}",-327.71120703905456,-327.30327024096727,-316.01854562812605,-329.9099002043792,-315.2415878898623,-323.23690220047786,6.278747928057707,39,-318.7270042637677,-319.2495016519817,-321.6123318090174,-318.09355443034883,-322.07946572890376,-319.95237157680384,1.5956659970971512
5,2.596013307571411,0.08931222015184205,0.0006143569946289063,3.168847515749162e-05,1,sag,"{'alpha': 1, 'solver': 'sag'}",-323.92332253275646,-324.1539309854554,-312.774989724736,-328.1640699389418,-310.56709073752836,-319.9166807838836,6.934630205983835,18,-315.5075497271353,-315.22633058891273,-318.1893822051465,-314.36103480314966,-319.0414195025831,-316.4651433653854,1.8159908493424568
6,3.533066987991333,0.18319050197692363,0.0005993366241455079,1.1512828078403573e-05,1,saga,"{'alpha': 1, 'solver': 'saga'}",-324.57678090163864,-324.48936160593485,-313.2048417371582,-328.29241272201057,-311.3096276109497,-320.3746049155384,6.795005572717608,26,-315.9564858113307,-315.73128957746616,-318.6581764154126,-315.0056197713085,-319.49798244963546,-316.9699108050307,1.7698044547262004
7,0.009303045272827149,1.581734333057249e-05,0.0005050182342529296,4.14985327187244e-06,0.5,cholesky,"{'alpha': 0.5, 'solver': 'cholesky'}",-322.8075523572931,-323.8071640674472,-312.16384193992565,-328.13596386212197,-309.3383199073429,-319.25056842682613,7.222732357874515,5,-314.8269233458018,-314.3958106806596,-317.42549352768293,-313.45242589464465,-318.3551850698123,-315.6911677037202,1.8730567319541276
8,0.00471806526184082,4.3770170800639206e-05,0.0,0.0,0.5,sgd,"{'alpha': 0.5, 'solver': 'sgd'}",,,,,,,,58,,,,,,,
9,0.032831430435180664,0.004126521357402747,0.0005418777465820313,2.8705438505730457e-06,0.5,svd,"{'alpha': 0.5, 'solver': 'svd'}",-322.8075523573042,-323.8071640674383,-312.16384193993895,-328.1359638621211,-309.3383199073452,-319.25056842682955,7.2227323578710365,6,-314.8269233458044,-314.39581068065894,-317.42549352768833,-313.4524258946511,-318.3551850698114,-315.69116770372284,1.873056731953173
10,0.0283355712890625,0.009984282543471773,0.0005332469940185547,4.22371146922656e-06,0.5,lsqr,"{'alpha': 0.5, 'solver': 'lsqr'}",-331.38313734971945,-330.1108166008036,-321.75982968286417,-334.54825701352627,-314.53237396188183,-326.46688292175907,7.312253712447106,50,-322.1517809331183,-322.3934484668868,-325.0293720229152,-321.5782407156994,-325.55955140684637,-323.3424787090932,1.624313743770457
11,0.029839611053466795,0.002422392276535967,0.0005215167999267578,7.6198518201592174e-06,0.5,sparse_cg,"{'alpha': 0.5, 'solver': 'sparse_cg'}",-328.570158944417,-326.8729650066272,-315.9819130896977,-329.8979645124758,-315.3139684106743,-323.3273939927784,6.346670534447742,42,-319.1022601152027,-318.78930335074176,-321.59927369213824,-318.0638369269393,-322.06557265609473,-319.9240493482233,1.600991877256727
12,2.993720769882202,0.054291805174745376,0.0006274700164794922,5.569927476666278e-05,0.5,sag,"{'alpha': 0.5, 'solver': 'sag'}",-323.53257927484526,-323.95906197224394,-312.46122371965515,-328.1832536491125,-310.09022417096605,-319.6452685573646,7.064369202181774,15,-315.21082679832597,-314.87859637372304,-317.8706750641557,-313.9818758000052,-318.7501512885419,-316.13842506495035,1.8395714465256408
13,4.031112957000732,0.23734908526098433,0.0006031513214111329,1.2882901096144175e-05,0.5,saga,"{'alpha': 0.5, 'solver': 'saga'}",-324.264674696436,-324.27439228279513,-312.8848007691995,-328.22384854077995,-310.9107267214465,-320.11168860213144,6.888659399074811,23,-315.67930689926635,-315.4084606378629,-318.34891893607005,-314.69194225877715,-319.22384093437387,-316.67049393327005,1.7791311307378097
