,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.01613650321960449,0.00468990055319282,0.0013954639434814453,0.00047817374302632176,2,2,3,"{'max_depth': 2, 'max_features': 2, 'n_estimators': 3}",-507.11440508666385,-537.0050472491271,-561.3646043940907,-517.6975895256536,-504.94094589332525,-525.624518429772,21.166675939510093,48,-530.1402738776145,-523.4272616768602,-516.3664997416964,-525.931433250169,-527.5638737134697,-524.6858684519619,4.69852894533733
1,0.036657094955444336,0.0009224034666607023,0.0018457889556884766,3.4501862239522234e-05,2,2,10,"{'max_depth': 2, 'max_features': 2, 'n_estimators': 10}",-468.76262829831285,-507.48482827048923,-526.0096943891707,-486.0868891360085,-478.762632877039,-493.4213345942041,20.671267357896564,45,-498.4453080833428,-489.54729897891787,-483.9879705686351,-494.70384566321917,-495.13180452159554,-492.36324556314213,5.063785114583009
2,0.1051562786102295,0.00032096729103736653,0.003987360000610352,0.00027643880735148444,2,2,30,"{'max_depth': 2, 'max_features': 2, 'n_estimators': 30}",-470.86115849304815,-509.06603304731624,-525.6022406401972,-485.8847143128121,-481.9488646845769,-494.67260223559015,19.849023688263898,46,-498.57437469504873,-490.08380978856167,-485.0861181187949,-495.89483622273735,-496.90112760885745,-493.3080532868,5.006630289112137
3,0.01846599578857422,0.0004057893461671869,0.001102113723754883,4.938214567583299e-05,2,4,3,"{'max_depth': 2, 'max_features': 4, 'n_estimators': 3}",-486.86212092530934,-525.4689427829016,-549.695386958159,-501.1309132066064,-506.8496595690362,-514.0014046884025,21.720508891973687,47,-518.5497545672856,-510.66425318275674,-505.2839618898413,-516.7182865178544,-513.8386980416036,-513.0109908398683,4.697258734833189
4,0.058461332321166994,0.0010536773908753154,0.001962423324584961,6.599329798880844e-05,2,4,10,"{'max_depth': 2, 'max_features': 4, 'n_estimators': 10}",-436.4184860409429,-471.41810207996264,-495.33416125277733,-448.22946828295863,-445.16216490508907,-459.31247651234617,21.40704151265275,43,-461.973902858261,-456.35520405668467,-450.1282864543978,-462.54490355972206,-461.50573783960493,-458.50160695373404,4.736020064423258
5,0.17276530265808104,0.0012176234393275244,0.0039676189422607425,2.1818934591221945e-05,2,4,30,"{'max_depth': 2, 'max_features': 4, 'n_estimators': 30}",-405.9476839457749,-436.7360431061165,-453.0737319769514,-411.2724487651,-409.4374672319693,-423.2934750051824,18.465843242081096,41,-422.7459739900729,-420.499071529798,-413.9815864279195,-425.7842950569362,-424.8159780775477,-421.5653810164548,4.2050058974119
6,0.02556309700012207,0.00037912157475254553,0.0011891365051269532,3.6308135973983814e-05,2,6,3,"{'max_depth': 2, 'max_features': 6, 'n_estimators': 3}",-420.821094442469,-452.4753055390175,-468.2204361157824,-429.3909073154963,-422.8744747651347,-438.75644363558,18.536240078518823,42,-439.970383018636,-433.5789364115119,-432.2669660716678,-442.0219813382177,-439.6262888288017,-437.49291113376705,3.842690311887284
7,0.07706103324890137,0.0007521979683055895,0.0018930435180664062,4.1718482698681884e-05,2,6,10,"{'max_depth': 2, 'max_features': 6, 'n_estimators': 10}",-393.57148910903055,-418.89326685790707,-441.12806280642627,-395.3474672246911,-398.3192975133075,-409.4519167022725,18.26239858501262,39,-407.3989136469837,-401.7279640857432,-408.4054859317846,-409.51609390234006,-416.2420707173283,-408.658105656836,4.646050221569726
8,0.2289414405822754,0.004339108989726134,0.003891181945800781,4.192925414879315e-05,2,6,30,"{'max_depth': 2, 'max_features': 6, 'n_estimators': 30}",-390.873299528719,-420.07250738076544,-443.21224921040226,-396.591153288516,-397.08989728115324,-409.5678213379112,19.574849188849285,40,-408.0030936711176,-404.0335076635294,-403.66021259950605,-411.16886887034315,-413.57413472232764,-408.08796350536477,3.8894947136170575
9,0.030571985244750976,0.0003755805507989225,0.0011463642120361328,4.3087560760717845e-05,2,8,3,"{'max_depth': 2, 'max_features': 8, 'n_estimators': 3}",-446.0399071204564,-485.15574020215286,-506.2676452583888,-455.23942952803594,-461.2708213507369,-470.7947086919542,21.954679662810257,44,-467.3065978411423,-465.76434930865327,-464.5488509785039,-475.1991098098424,-472.2957479000752,-469.0229311676434,4.060494091676265
10,0.09816498756408691,0.0016993689157577966,0.0018877983093261719,3.253168874114167e-05,2,8,10,"{'max_depth': 2, 'max_features': 8, 'n_estimators': 10}",-375.7503433441633,-408.2767836388621,-443.36169672741323,-381.8308680702742,-395.59453014336987,-400.96284438481655,24.006990280338158,38,-394.9059448786875,-390.15529573398936,-400.7129903331848,-397.85853314117674,-411.12596234091217,-398.95174528559005,7.017901160130636
11,0.2949176788330078,0.002218547663858431,0.004024648666381836,1.3762845420360532e-05,2,8,30,"{'max_depth': 2, 'max_features': 8, 'n_estimators': 30}",-376.7545244569899,-408.7949723854436,-433.6803590063627,-384.3196321304826,-385.3560593529115,-397.78110946643807,20.917800139967238,37,-395.0643419776213,-390.709708559414,-392.8304558690107,-399.9133876711838,-401.6455430397969,-396.0326874234053,4.149459396123687
